RELATORIO MDL TESTE;
2020-01-08 11:00;
MDL20RJ;
System;

1C1 ILHA 1.6;1C2-A ILHA 1.7;1C2-B ILHA 1.8;1C3-A ILHA 1.9;1C3-B ILHA 1.10;1C4 ILHA 1.1;1C5-A ILHA 1.2;1C5-B ILHA 1.3;1C6-A ILHA 1.4;1C6-B ILHA 1.5;1C7 ILHA 2.6;1C8-A ILHA 2.7;1C8-B ILHA 2.8;1C9-A ILHA 2.9;1C9-B ILHA 2.10;1C10 ILHA 2.1;1C11-A ILHA 2.2;1C11-B ILHA 2.3;1C12-A ILHA 2.4;1C12-B ILHA 2.5;2C1 ILHA 3.6;2C2-A ILHA 3.7;2C2-B ILHA 3.8;2C3-A ILHA 3.9;2C3-B ILHA 3.10;2C4 ILHA 3.1;2C5-A ILHA 3.2;2C5-B ILHA 3.3;2C6-A ILHA 3.4;2C6-B ILHA 3.5;2C7 ILHA 4.6;2C8-A ILHA 4.9;2C8-B ILHA 4.10;2C9-A ILHA 4.7;2C9-B ILHA 4.8;2C10 ILHA 4.1;2C11-A ILHA 4.2;2C11-B ILHA 4.3;2C12-A ILHA 4.4;2C12-B ILHA 4.5;2C13-A PEIXE SUP1;2C13-B PEIXE SUP2;2C14-A PEIXE INF1;2C14-B PEIXE INF2;3C1 CF CONGELADOS;3C1´CF CONGELADOS;3C2 CF CONGELADOS;3C2´ CF CONGELADOS;3C3 CF CONGELADOS;4C1 CF CONGELADOS;4C1´CF CONGELADOS;1R1/1R2 HORT-1R7 FATIADOS-1R3 FRANGO-1R4 SALSICHA-1R5/1R6 CARNE-1R8/1R9 QUEIJO MINAS-1R10 TORTAS-1R1;1R1/1R2 HORT-1R7 FATIADOS-1R3 FRANGO-1R4 SALSICHA-1R5/1R6 CARNE-1R8/1R9 QUEIJO MINAS-1R10 TORTAS-1R1;1R1/1R2 HORT-1R7 FATIADOS-1R3 FRANGO-1R4 SALSICHA-1R5/1R6 CARNE-1R8/1R9 QUEIJO MINAS-1R10 TORTAS-1R1;1R1/1R2 HORT-1R7 FATIADOS-1R3 FRANGO-1R4 SALSICHA-1R5/1R6 CARNE-1R8/1R9 QUEIJO MINAS-1R10 TORTAS-1R1;1R1/1R2 HORT-1R7 FATIADOS-1R3 FRANGO-1R4 SALSICHA-1R5/1R6 CARNE-1R8/1R9 QUEIJO MINAS-1R10 TORTAS-1R1;1R1/1R2 HORT-1R7 FATIADOS-1R3 FRANGO-1R4 SALSICHA-1R5/1R6 CARNE-1R8/1R9 QUEIJO MINAS-1R10 TORTAS-1R1;1R1/1R2 HORT-1R7 FATIADOS-1R3 FRANGO-1R4 SALSICHA-1R5/1R6 CARNE-1R8/1R9 QUEIJO MINAS-1R10 TORTAS-1R1;1R1/1R2 HORT-1R7 FATIADOS-1R3 FRANGO-1R4 SALSICHA-1R5/1R6 CARNE-1R8/1R9 QUEIJO MINAS-1R10 TORTAS-1R1;1R1/1R2 HORT-1R7 FATIADOS-1R3 FRANGO-1R4 SALSICHA-1R5/1R6 CARNE-1R8/1R9 QUEIJO MINAS-1R10 TORTAS-1R1;1R14 LAT 2.1-1R15/1R16 LAT 2.2-1R17 LAT 3.3-1R18/1R19 LAT 3.4-1R20 LAT 3.1-1R21 LAT 3.2-2R1/2R2/2R3;1R14 LAT 2.1-1R15/1R16 LAT 2.2-1R17 LAT 3.3-1R18/1R19 LAT 3.4-1R20 LAT 3.1-1R21 LAT 3.2-2R1/2R2/2R3;1R14 LAT 2.1-1R15/1R16 LAT 2.2-1R17 LAT 3.3-1R18/1R19 LAT 3.4-1R20 LAT 3.1-1R21 LAT 3.2-2R1/2R2/2R3;1R14 LAT 2.1-1R15/1R16 LAT 2.2-1R17 LAT 3.3-1R18/1R19 LAT 3.4-1R20 LAT 3.1-1R21 LAT 3.2-2R1/2R2/2R3;1R14 LAT 2.1-1R15/1R16 LAT 2.2-1R17 LAT 3.3-1R18/1R19 LAT 3.4-1R20 LAT 3.1-1R21 LAT 3.2-2R1/2R2/2R3;1R14 LAT 2.1-1R15/1R16 LAT 2.2-1R17 LAT 3.3-1R18/1R19 LAT 3.4-1R20 LAT 3.1-1R21 LAT 3.2-2R1/2R2/2R3;1R14 LAT 2.1-1R15/1R16 LAT 2.2-1R17 LAT 3.3-1R18/1R19 LAT 3.4-1R20 LAT 3.1-1R21 LAT 3.2-2R1/2R2/2R3;2R9 LAT 1.1-2R4/2R5 QUEIJO 1-2R6 LAT 1.3-2R7/2R8 LAT 1.4;2R9 LAT 1.1-2R4/2R5 QUEIJO 1-2R6 LAT 1.3-2R7/2R8 LAT 1.4;2R9 LAT 1.1-2R4/2R5 QUEIJO 1-2R6 LAT 1.3-2R7/2R8 LAT 1.4;2R9 LAT 1.1-2R4/2R5 QUEIJO 1-2R6 LAT 1.3-2R7/2R8 LAT 1.4;
1C1 ILHA 1.6 AMB;1C2-A ILHA 1.7 AMB;1C2-B ILHA 1.8 AMB;1C3-A ILHA 1.9 AMB;1C3-B ILHA 1.10 AMB;1C4 ILHA 1.1 AMB;1C5-A ILHA 1.2 AMB;1C5-B ILHA 1.3 AMB;1C6-A ILHA 1.4 AMB;1C6-B ILHA 1.5 AMB;1C7 ILHA 2.6 AMB;1C8-A ILHA 2.7 AMB;1C8-B ILHA 2.8 AMB;1C9-A ILHA 2.9 AMB;1C9-B ILHA 2.10 AMB;1C10 ILHA 2.1 AMB;1C11-A ILHA 2.2 AMB;1C11-B ILHA 2.3 AMB;1C12-A ILHA 2.4 AMB;1C12-B ILHA 2.5 AMB;2C1 ILHA 3.6 AMB;2C2-A ILHA 3.7 AMB;2C2-B ILHA 3.8 AMB;2C3-A ILHA 3.9 AMB;2C3-B ILHA 3.10 AMB;2C4 ILHA 3.1 AMB;2C5-A ILHA 3.2 AMB;2C5-B ILHA 3.3 AMB;2C6-A ILHA 3.4 AMB;2C6-B ILHA 3.5 AMB;2C7 ILHA 4.6 AMB;2C8-A ILHA 4.9 AMB;2C8-B ILHA 4.10 AMB;2C9-A ILHA 4.7 AMB;2C9-B ILHA 4.8 AMB;2C10 ILHA 4.1 AMB;2C11-A ILHA 4.2 AMB;2C11-B ILHA 4.3 AMB;2C12-A ILHA 4.4 AMB;2C12-B ILHA 4.5 AMB;2C13-A PEIXE SUP1 AMB;2C13-B PEIXE SUP2 AMB;2C14-A PEIXE INF1 AMB;2C14-B PEIXE INF2 AMB;3C1 CF CONGELADOS AMB;3C1´CF CONGELADOS AMB;3C2 CF CONGELADOS AMB;3C2´ CF CONGELADOS AMB;3C3 CF CONGELADOS AMB;4C1 CF CONGELADOS AMB;4C1´CF CONGELADOS AMB;1R1/1R2 HORT;1R7 FATIADOS;1R3 FRANGO;1R4 SALSICHA;1R5/1R6 CARNE;1R8/1R9 QUEIJO MINAS;1R10 TORTAS;1R11 LAT 2.3;1R12/1R13 LAT 2.4;1R14 LAT 2.1;1R15/1R16 LAT 2.2;1R17 LAT 3.3;1R18/1R19 LAT 3.4;1R20 LAT 3.1;1R21 LAT 3.2;2R1/2R2/2R3 QUEIJO 2;2R9 LAT 1.1;2R4/2R5 QUEIJO 1;2R6 LAT 1.3;2R7/2R8 LAT 1.4;
-16,3;-16,6;-13,2;-21,7;-20,1;-17,7;-16,1;-16,9;-16;-15,9;-19,1;-15,9;-6,3;-19,8;-16,6;-18,5;-19;-18,2;-17,3;-16,1;-17,7;18,5;20,7;20,8;14,8;-18;10,5;13,3;7,7;12;-19,8;-16,2;-17;-18;-13,9;-19,5;-13,7;-17,9;-19,1;-11,9;-10,2;-12,4;-16,4;-17,6;5,8;-3,4;-5,1;-1,9;0,7;-6,1;-8,8;8,3;-0,3;-0,7;2,4;1,5;-1,9;-1,3;0,2;3;3,6;3,3;1,2;3,8;1,1;0,6;87;3,3;0,3;-0,5;0,1;" ";
